index,name,isin,url,keyword
168,abrdn UK Ethical Equity (I),GB00BVFNS519,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/abrdn-uk-ethical-equity-i-income/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account"
173,abrdn UK Mid-Cap Equity (I),GB00B0XWNS12,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/abrdn-uk-mid-cap-equity-i-income/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account"
178,abrdn UK Real Estate Feeder (I),GB00BYPHPB97,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/abrdn-uk-real-estate-feeder-i-accumulation/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account"
183,abrdn UK Sustainable Equity (I),GB00B131GH54,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/abrdn-uk-sustainable-equity-i-income/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account"
188,Aegon Diversified Monthly Income (Class B),GB00BJFLQY60,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/aegon-diversified-monthly-income-class-b-accumulation/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account"
193,Aegon Ethical Corporate Bond (Class B),GB00B0C4RP31,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/aegon-ethical-corporate-bond-class-b-income/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account"
198,Aegon Global Short Dated Climate Trans (Class S),IE00BL1GHK20,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/aegon-global-short-dated-climate-trans-class-s-accumulation/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account"
203,Aegon High Yield Global Bond Hedged (Class B),IE00B296WQ21,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/aegon-high-yield-global-bond-hedged-class-b-income/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account"
208,Aegon Sterling Corporate Bond (Class B),GB0007451635,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/aegon-sterling-corporate-bond-class-b-accumulation/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account"
213,Aegon Sustainable Equity (Class B),GB0007274516,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/aegon-sustainable-equity-class-b-accumulation/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account"
218,Algebris Financial Credit (Class I),IE00B8DD4P49,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/algebris-financial-credit-class-i-income/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account"
223,Algebris Global Credit Opportunities (Class I),IE00BYT35P73,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/algebris-global-credit-opportunities-class-i-income/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account"
228,Allianz China A-Shares Equity (Class W),GB00BMG9ZZ41,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/allianz-china-a-shares-equity-class-w-accumulation/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account"
233,Allianz Europe Equity Growth (Class P GBP),LU0604763499,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/allianz-europe-equity-growth-class-p-gbp-income/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account"
238,Allianz Income & Growth (Class AM Hedged 2),LU0820562386,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/allianz-income-and-growth-class-am-hedged-2-income/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account"
243,Allianz Total Return Asian Equity (Class C),GB00B1FRQV53,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/allianz-total-return-asian-equity-class-c-income/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account"
248,Allspring Climate Transition Global Equity (Z),LU2332865323,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/allspring-climate-transition-global-equity-z-accumulation/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account"
253,Allspring Global Income (Class Z),LU2890438885,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/allspring-global-income-class-z-accumulation/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account"
258,Alquity Indian Subcontinent (Class I),LU1049768671,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/alquity-indian-subcontinent-class-i-accumulation/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account"
263,Amova Japan Value (Class D),LU1314310662,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/amova-japan-value-class-d-accumulation/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account"
268,AQR Delphi Long-Short Equity,LU2746661458,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/aqr-delphi-long-short-equity-accumulation/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account"
273,ARC TIME Social Impact Property Gross (Class A),GB00BJK12987,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/arc-time-social-impact-property-gross-class-a-accumulation/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account"
278,ARC TIME UK Infrastructure Income II (Class C),GB00BP5GQC18,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/arc-time-uk-infrastructure-income-ii-class-c-accumulation/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account"
283,Artemis Corporate Bond (Class I),GB00BFZ91W59,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/artemis-corporate-bond-class-i-accumulation/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account"
288,Artemis High Income (Class I Quarterly),GB00B2PLJN71,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/artemis-high-income-class-i-quarterly-income/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account"
293,Artemis Monthly Distribution (Class I),GB00B75F9Z67,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/artemis-monthly-distribution-class-i-accumulation/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account"
298,Artemis SmartGARP European Equity (Class IH Hgd),GB00BR4TV084,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/artemis-smartgarp-european-equity-class-ih-hgd-income/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account"
303,Artemis SmartGARP Global Equity (Class I),GB00B2PLJP95,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/artemis-smartgarp-global-equity-class-i-accumulation/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account"
308,Artemis Strategic Bond (Class I Monthly),GB00B2PLJS27,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/artemis-strategic-bond-class-i-monthly-income/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account"
313,Artemis UK Select (Class I),GB00BD3GTF36,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/artemis-uk-select-class-i-income/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account"
318,Artemis US Extended Alpha (Class I),GB00BMMV5G59,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/artemis-us-extended-alpha-class-i-accumulation/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account"
